# Verbs with an etymology but no corpus example sentence.
# Generated by the integrate skill (Mode B) from the Phase 4 mined shards.
# Input to the corpus-expansion re-mine: prompts/uses_etymologies.md Phase 5.
#
# reason=no-candidates           the corpus never attests this verb; wants a larger corpus of the
#                                missing register (news / administrative / technical German), not
#                                more of the same literary sources. Re-mine after expansion.
# reason=candidates-none-usable  the corpus has the token but no candidate yielded a sentence. The
#                                third column says why, and the reasons are NOT uniform: some are
#                                nominal-only / homograph-drained / furniture (a corpus-quality
#                                floor), but a real fraction are GENUINE verbal uses rejected only
#                                for exceeding the 55-word ceiling — those are recoverable by
#                                revisiting the ceiling, not by expanding the corpus. Read the note
#                                before deciding the fix; the two-bucket "all nominal" framing in
#                                the Phase 5 brief is coarser than what's actually here.
#
# format: <verb>	<reason>	<subagent note, if any>

verdreschen	no-candidates	no candidates
verdrucken	candidates-none-usable	No genuine verbal candidate: the sole candidate’s verdruckst is the adjective ("sheepish, mumbling"), not the verb verdrucken ("misprint").
verdrücken	no-candidates	no candidates
verenden	no-candidates	no candidates
verfechten	no-candidates	no candidates
verfilmen	no-candidates	no candidates
verformen	no-candidates	no candidates
verglimmen	no-candidates	no candidates
vergucken	no-candidates	no candidates
vergären	no-candidates	Read ver- as the process-runs-itself-out sense, given the intransitive sein-perfect. No candidates.
verhassen	candidates-none-usable	No genuine verbal candidate — all three attest predicative-adjectival verhasst (gradable, e.g. 'gleich verhasst'), not a verbal use.
verheben	no-candidates	no candidates
verheilen	no-candidates	no candidates
verklappen	no-candidates	No candidates; verklappen is denominal from Klappe (a barge's bottom flap), not from the verb klappen — the root bullet covers only the verb.
verklicken	no-candidates	no candidates
verklingen	candidates-none-usable	Sole candidate is a truncated runaway Nietzsche period well over the 65-word ceiling; returned null.
verkochen	no-candidates	no candidates
verkosten	no-candidates	no candidates
verkümmern	no-candidates	no candidates
verlanden	no-candidates	no candidates
verlesen	candidates-none-usable	Etymology glosses the strong "misread" reading; both candidates attest the unrelated transitive "read out (aloud)" verlesen and are unusable — rank-0 is a "nicht allein ..." fragment, rank-1 ends in a footnote marker and colon. Sentence null.
verlügen	candidates-none-usable	Sole candidate is the adjectival participle "verlogen" (mendacious); no verbal use — sentence null.
vermachen	candidates-none-usable	Sole candidate is the attributive participle "vermachten Einkuenfften" inside a ~60-word legal period; not a genuine verbal use — sentence null.
vermeinen	candidates-none-usable	Both candidates are 60+ word periods (rank-0 truncated), too long for a phone screen — sentence null.
vermelden	no-candidates	no candidates
vermerken	candidates-none-usable	Rank-0 is the noun "Vermerke" (memos), not the verb; rank-1 is a genuine passive but carries a bare URL mid-sentence — sentence null.
verpfeifen	no-candidates	no candidates
verpflegen	no-candidates	no candidates
verrauchen	no-candidates	no candidates
verreden	no-candidates	no candidates
verreiben	no-candidates	no candidates
verreisen	candidates-none-usable	no usable sentence: the Goethe candidate mis-splits two speakers' lines, and the Grimm candidate is Low German dialect carrying an editorial gloss.
verreißen	no-candidates	no candidates
verrennen	no-candidates	no candidates
verrufen	no-candidates	no candidates
verräumen	no-candidates	no candidates
verrühren	no-candidates	no candidates
versalzen	candidates-none-usable	no usable sentence: the sole candidate has ~versalzte~ as an attributive adjective (~versalzte Beredsamkeit~), not a verbal use.
versaufen	no-candidates	no candidates
verschallen	no-candidates	no candidates
verschalten	no-candidates	ver- here is combinatorial ('connect together'), not cleanly among the listed senses; picked sense 0 (completive) as the nearest.
verschauen	no-candidates	no candidates
verscheißen	no-candidates	No candidates; no ver- exemplar fits cleanly, so sense 1 (action gone amiss/ruin) is chosen as the nearest.
verschreien	no-candidates	no candidates
verschätzen	no-candidates	no candidates
verspeisen	no-candidates	no candidates
verspüren	no-candidates	no candidates
verstehlen	candidates-none-usable	Sole candidate is the adverb "verstohlen" (furtively), not a verbal use of verstehlen; sentence null.
versteigern	no-candidates	no candidates
versteuern	no-candidates	No candidates. Sense read as completive over steuern's archaic 'pay a tax' branch; the terse gloss leaves the exemplar slot underdetermined.
verstimmen	candidates-none-usable	No usable candidate: one is attributive (verstimmten Klavier), the other opens on a corrupt token ("E ist" for "Es ist") and its participle is predicative-adjectival.
verstinken	no-candidates	no candidates
verstrahlen	no-candidates	No candidates. Sense picked as the pejorative-resultative ver- (like verseuchen); verstrahlen matches none of the exemplar slots cleanly.
verstreben	no-candidates	Decomposition is formal: the root bullet covers streben 'strive', but verstreben is denominal from die Strebe 'strut'.
vertippen	no-candidates	no candidates
vertrinken	no-candidates	no candidates
verwachsen	no-candidates	no candidates
verwaschen	no-candidates	no candidates
verwiegen	no-candidates	No candidates; sense read as completive over the weigh-branch (family s confirms the branch, not the cradle homograph).
verwählen	no-candidates	no candidates
verzeigen	no-candidates	No candidates. No ver- exemplar closely matches 'report/denounce' (chiefly Swiss legal); picked sense 1 as the nearest — the showing turned against its object.
verzählen	no-candidates	No candidates.
verärgern	no-candidates	no candidates
veräußern	no-candidates	no candidates
vollladen	no-candidates	No candidates.
volllaufen	no-candidates	No candidates.
vollmachen	candidates-none-usable	No usable candidate: the sole candidate is the noun ~Vollmachten~ ('powers of attorney'), not the verb, and is a bare fragment.
voranmachen	no-candidates	No candidates.
voranschieben	no-candidates	No candidates.
vorausahnen	no-candidates	No candidates.
vorausberechnen	no-candidates	No candidates.
voraushaben	no-candidates	no candidates
vorauslaufen	no-candidates	no candidates
vorausreisen	no-candidates	no candidates
vorausrennen	no-candidates	no candidates
voraussenden	no-candidates	no candidates; voraus- sits between the spatial "ahead" and temporal "in advance" senses — took the spatial slot per the gloss "send ahead."
vorauszahlen	no-candidates	no candidates
vorbauen	no-candidates	no candidates
vorbehandeln	no-candidates	no candidates
vorbeilaufen	no-candidates	no candidates
vorbeireden	no-candidates	no candidates
vorbeischauen	no-candidates	no candidates; the sense_exemplar slot lists vorbeischauen under the "drop by" sense, but this reading is glossed "look past," so took the motion-past sense per the reading.
vorbestellen	no-candidates	no candidates; bestellen is a lexicalized be-unit, be- assigned the closest of the productive senses.
vorbestimmen	candidates-none-usable	All candidates rejected: two use vorbestimmt adjectivally/predicatively (das vorbestimmte Jagdbereich; geartet und vorbestimmt sind), one is a false split (vorschreiben + the adjective bestimmten). bestimmen is a lexicalized be-unit from stimmen.
vorbeten	no-candidates	no candidates
vordenken	no-candidates	no candidates
vorfahren	no-candidates	no candidates
vorfordern	no-candidates	no candidates
vorgreifen	no-candidates	no candidates
vorherberechnen	no-candidates
vorherbestimmen	candidates-none-usable	All five candidates use participial 'vorherbestimmt' in the stative sense 'predestined' — predicatively (sich vorherbestimmt fühlen; ist nicht vorherbestimmt), attributively, or as a passive infinitive (vorherbestimmt zu sein) — none an active use of 'predetermine,' and the sole passive-infinitive candidate is a 41-word period. Nulled for a cleaner active attestation.
vorhängen	no-candidates	no candidates
vorkehren	no-candidates	root:kehren covers both homographs; family w and the 'turn to the front' gloss select the 'turn' branch (kehren 1), not 'sweep.'
vorleisten	no-candidates	no candidates
vormerken	no-candidates	no candidates
vorsagen	no-candidates	no candidates
vorschießen	no-candidates	no candidates
vorschützen	no-candidates	no candidates
vorspielen	no-candidates	no candidates
vorsprechen	no-candidates	no candidates
vorspringen	no-candidates	no candidates
vorstoßen	no-candidates	no candidates
vorverlegen	no-candidates	No candidates; sentence null. Three-morpheme compound ~vor-~ + ~ver-~ + ~legen~; ~ver-~ taken in its spatial-displacement sense, verlegen = to relocate/shift.
vorwagen	no-candidates	no candidates
vorwarnen	no-candidates	no candidates
vorwiegen	candidates-none-usable	All three candidates are the adverb „vorwiegend“ ("predominantly"), a participle used purely adverbially, not a finite verbal use; sentence null.
vorüberfahren	no-candidates	no candidates
wachhalten	no-candidates	Reading glossed literally ("keep someone awake"), so the resultative sense was taken; the sense_exemplar slot places ~wachhalten~ under the figurative sense. No candidates; sentence null.
wachrufen	no-candidates	no candidates
warmhalten	no-candidates	no candidates. wach/warm slot places warmhalten under the figurative sense 2 (keeping something hospitable / a contact warm), which the »halten« (maintain, not bring about) supports; »keep warm« is not unambiguous enough to override the slot.
wegbefördern	no-candidates	be- in befördern is largely lexicalized and matches none of the six be- senses cleanly; picked sense 4 (thoroughness/completeness, »carry through/onward«) as the least-bad fit. no candidates.
wegbegeben	no-candidates	no candidates.
wegdenken	no-candidates	no candidates.
wegdrücken	no-candidates	no candidates.
wegerklären	no-candidates	no candidates. weg- here is the figurative disposal sense 1 (»explain away« = argue out of existence), not spatial removal.
weghalten	no-candidates	no candidates.
weghören	no-candidates	no candidates.
wegjagen	no-candidates	no candidates.
wegmachen	no-candidates	No candidates. Terse gloss "remove" is ambiguous between weg-'s two senses; sense 1 (disposal, getting rid of) chosen as wegmachen means to make something disappear.
wegrauchen	no-candidates	No candidates.
wegrennen	no-candidates	No candidates.
wegschießen	no-candidates	No candidates.
wegschleifen	no-candidates	No candidates. Weak schleifen ("to drag") branch, per family w.
wegschmeißen	no-candidates	No candidates.
wegschwimmen	no-candidates	No candidates.
wegsetzen	no-candidates	No candidates.
wegsperren	no-candidates	No candidates.
wegstecken	no-candidates	No candidates.
wegsterben	no-candidates	No candidates. weg- is figurative here (dying off); the departure sense (0) fits better than disposal, though neither exemplar set is a perfect match for a death verb.
wegtreten	no-candidates
wegwaschen	no-candidates
wegweisen	no-candidates
wegwünschen	no-candidates
weichkochen	no-candidates	no candidates
weiterreden	no-candidates	no candidates
weiterschenken	no-candidates	no candidates
weiterverarbeiten	no-candidates	no candidates. ver- in verarbeiten read as the consuming/using-up sense (raw material worked up into a product); it sits between that and completion.
weiterverschenken	no-candidates	no candidates
wettmachen	no-candidates	no candidates
wichtigmachen	no-candidates	no candidates
widerreden	no-candidates	no candidates
widersagen	no-candidates	no candidates
wiederaufleben	no-candidates	no candidates
wiederentdecken	no-candidates	no candidates
wiederverwenden	no-candidates	ver- in verwenden is lexicalized; no productive ver- sense cleanly glosses "employ, use," so the historical spatial sense (index 3, "turn away") was spliced and the closer supplies the modern meaning.
wiederverwerten	no-candidates	ver- sense 5 (denominal make-into) applies because the root bullet carries the noun Wert; the decomposition is formal and the closer names the noun.
wiederwählen	no-candidates	no candidates
wringen	no-candidates	no candidates
wundliegen	no-candidates	no candidates
wundreiben	no-candidates	no candidates
zeihen	candidates-none-usable	All five candidates are the verb ~ziehen~ ("to pull, draw") — ~zieht~, ~ziehen~ — not ~zeihen~ ("to accuse"); no candidate is a genuine use of the target verb.
zerbeißen	candidates-none-usable	Sole candidate is a spliced two-verse Luther passage with an embedded verse number ("11") joining Revelation 16:10–11; rejected as a broken mis-split.
zerfließen	no-candidates	no candidates
zerkochen	no-candidates	no candidates
zerlaufen	no-candidates	no candidates
zerleben	no-candidates	no candidates
zerlesen	no-candidates	no candidates
zerschießen	no-candidates	no candidates
zersingen	no-candidates	no candidates
zerstieben	no-candidates	no candidates
zertreiben	no-candidates	no candidates
zubauen	candidates-none-usable	Sole candidate rejected: a fragmentary parliamentary mis-split with no clear subject, and it attests the „Zubau“ (capacity-addition) sense, not the building-cover sense glossed here.
zubeißen	no-candidates	no candidates
zudringen	no-candidates	no candidates
zueignen	candidates-none-usable	Sole candidate is a false split: the token „eignen“ is the adjective ~eigen~ in „seinen eignen Blick“, and the stranded „zu“ belongs to ~zuwenden~ (wandte … zu), not to zueignen.
zueinanderhalten	no-candidates	no candidates
zuerteilen	no-candidates	no candidates
zufassen	candidates-none-usable	Sole candidate is infinitival 'zu fassen' (base fassen 'to conceive'), joined into one word by the extractor, not the separable verb zufassen; no usable sentence.
zufrieren	no-candidates	no candidates
zugraben	no-candidates	no candidates
zuhaben	candidates-none-usable	Both candidates are the idiom 'das Zeug zu … haben' / garbled column-merge text, not the separable verb zuhaben 'keep shut'; no usable sentence.
zukaufen	no-candidates	no candidates
zuklappen	no-candidates	no candidates
zuladen	no-candidates	No candidates.
zuliefern	no-candidates	No candidates. Sense picked by exemplar analogy (transitive delivery to a dative recipient), as with zuleiten.
zupacken	no-candidates	No candidates. Sense fit is loose: zu- in zupacken (seize at, close on) sits between the directional sense 0 and a completive nuance not cleanly among the four listed senses.
zupasskommen	no-candidates	No candidates.
zurechtlegen	candidates-none-usable	Sole candidate rejected: a Goethe mis-split opening with dialogue debris (" sagte sie.--"Ohne Umstände".--) that does not stand alone as a sentence, though the zurechtlegen clause within it is a genuine verbal use.
zureisen	no-candidates	No candidates.
zureiten	no-candidates	No candidates.
zurückbauen	no-candidates	No candidates.
zurückbilden	no-candidates	No candidates.
zurückkaufen	no-candidates	no candidates
zurücklächeln	no-candidates	no candidates; the reciprocal "in return" reading fits none of the three senses cleanly (sense 0 taken as nearest).
zurückmachen	no-candidates	no candidates
zurückmelden	no-candidates	no candidates; the reciprocal/response reading fits none of the three senses cleanly (sense 0 taken as nearest).
zurückreichen	no-candidates	no candidates
zurückreisen	no-candidates	no candidates
zurückrennen	no-candidates	no candidates
zurückräumen	no-candidates	no candidates
zurückschicken	no-candidates	no candidates
zurückschlagen	no-candidates	no candidates; sense 1 (backward) applied to the figurative 'return blow,' a reciprocal reading the recoil-type exemplars only loosely cover
zurückstecken	no-candidates	no candidates
zurückverfolgen	no-candidates	no candidates
zurückversetzen	no-candidates	no candidates
zurückwirken	no-candidates	no candidates; sense 1 applied as a temporal metaphor (an effect reaching back in time), which the physical-recoil exemplars do not closely match
zusammenfließen	no-candidates	no candidates
zusammengeben	no-candidates	no candidates
zusammenhauen	no-candidates	No candidates. The resultative „to a pulp / until it goes down“ use of zusammen- fits none of the three senses cleanly; sense 2 (collapse) is the nearest.
zusammenkehren	no-candidates	no candidates; weak family selects the "sweep" homograph, stated in the closer
zusammenkleben	no-candidates	no candidates
zusammenkneifen	no-candidates	no candidates
zusammenlügen	no-candidates	no candidates; the sense is figurative — cobbling separate lies into one fabrication
zusammenrechnen	no-candidates	no candidates
zusammenreißen	no-candidates	no candidates
zusammenräumen	no-candidates	no candidates
zusammenrücken	candidates-none-usable	sole candidate is an ~80-word Kafka period, over the 65-word ceiling; nulled for length
zusammensinken	candidates-none-usable	both candidates are predicative „ein wenig zusammengesunken" (slumped a little); the degree modifier grades the participle, so the gradability test marks it adjectival rather than a verbal use
zusammenspielen	no-candidates	no candidates
zusammenspinnen	no-candidates	no candidates
zusammenstoßen	no-candidates	no candidates; none of the three zusammen senses cleanly covers reciprocal collision, sense 1 chosen as nearest
zusammenstreben	no-candidates	no candidates
zusammenstürzen	no-candidates	no candidates
zusammenwachsen	candidates-none-usable	sole candidate rejected: parliamentary heckle furniture (a colon-form „Zuruf von der CDU/CSU:" attribution the party filter missed) and a fragment ending on a comma
zusammenzählen	no-candidates	no candidates
zuscheißen	no-candidates	no candidates
zuschießen	no-candidates	no candidates
zuschwellen	no-candidates	no candidates
zusichern	candidates-none-usable	Sole candidate carried orphaned parliamentary-heckle furniture (a leading „Heldenhaft!)“); rejected, so the sentence is null.
zustellen	candidates-none-usable	Sole candidate is truncated Westphalia legalese attesting the "deliver/serve" sense, not the gloss "block"; sentence null.
zustoßen	no-candidates	No candidates.
zustreben	no-candidates	No candidates.
zutreten	candidates-none-usable	Sole candidate is a ~59-word Nietzsche period whose direct quotation is cut mid-speech (unclosed quote) and attests "step toward," not the gloss "kick"; rejected as a mis-split, so the sentence is null.
zutrinken	no-candidates	No candidates.
zuvorsagen	no-candidates	No candidates.
zuwarten	no-candidates	No candidates. The zu- here fits none of the four senses cleanly; it is at best weakly directional (awaiting an outcome).
zuwiderhandeln	no-candidates	no candidates
zuzahlen	no-candidates	no candidates
zwischenlagern	no-candidates	no candidates
zwischenspeichern	no-candidates	no candidates
ähnlichschauen	no-candidates	no candidates
überbewerten	no-candidates	no candidates
überbuchen	no-candidates	no candidates
überdauern	no-candidates	no candidates. Sense 0 (crossing a boundary) is applied to time here: ~überdauern~ spans and persists past a temporal limit.
überdecken	no-candidates	no candidates
übereignen	no-candidates	no candidates
übereinanderhalten	no-candidates	no candidates. Gloss "keep shut, clench" reads loosely; ~übereinanderhalten~ literally holds one thing over another (crossing sense).
übereinanderlegen	no-candidates	no candidates
übereinanderliegen	no-candidates	no candidates
übereintreffen	no-candidates	no candidates
überfinanzieren	no-candidates	no candidates
überfliegen	no-candidates	no candidates
überfordern	candidates-none-usable	No usable sentence: candidate 0 is a mis-split (plural „Grundsätze“ against singular „überfordert“ and needs its antecedent), candidate 1 is garbled PDF/OCR extraction.
übergreifen	candidates-none-usable	No usable sentence: the sole candidate uses adjectival/adverbial „übergreifend“ (cross-cutting), not the finite verb.
überhelfen	no-candidates	Gloss „force on someone“ is unusual; überhelfen normally means „help someone over / into (something)“. No candidates.
überkochen	no-candidates	The gloss „boil over“ is the separable spilling sense (die Milch kocht über); the shard marks über- inseparable (über*kochen), which looks like a decomposition defect. No candidates in any case.
überladen	candidates-none-usable	No usable sentence: the sole candidate („mit Bettzeug überladen war“) is a gradable Zustandspassiv / adjectival use, not a verbal one.
überreagieren	no-candidates	no candidates
überrinnen	no-candidates	no candidates
überrollen	no-candidates	no candidates
überrunden	no-candidates	No sense-exemplar cleanly fits “lap”; über- read as surpassing/getting past (sense 0). The decomposition on ~runden~ is formal — the verb is denominal from ~die Runde~. No candidates.
überschallen	no-candidates	über- sits between covering (sense 2) and surpassing; picked sense 2. No candidates.
überschießen	no-candidates	Translation “shoot something over something” is spatial (sense 0); the sense-exemplar slot lists überschießen under sense 2 (“over the edge”). Followed the reading per the brief's translation-override exception. No candidates.
übersenden	no-candidates	No candidates.
überstellen	no-candidates	No candidates.
übersteuern	no-candidates	No candidates.
überstürzen	candidates-none-usable	Sole candidate (Mann) is predicative-adjectival — „War diese Kündigung nicht überstürzt und irrtümlich“ pairs überstürzt with an adjective — not a verbal use.
übertauchen	no-candidates	Austrian regionalism; no exemplar directly fits; über- read as reaching the other side (sense 0). No candidates.
übertöten	no-candidates	No candidates.
überwachsen	no-candidates	No candidates.
überwechseln	no-candidates	No candidates.
überwerfen	no-candidates	No candidates.
überzahlen	no-candidates	Picked über- sense 1 (transfer) per the reading's gloss 'pay, transfer money'; the more common sense of überzahlen is excess ('overpay'). No candidates.
überzeichnen	no-candidates	no candidates
überziehen	candidates-none-usable	sentence null: all five candidates attest the inseparable doublet (coat / overspread / exceed), not the separable 'put on' reading.
